Country,Year,Classical_BSE_cases,Atypical_BSE_cases
AT,2003,0,0
AT,2004,0,0
AT,2005,2,0
AT,2006,2,0
AT,2007,0,1
AT,2008,0,0
AT,2009,0,0
AT,2010,0,2
AT,2011,0,0
AT,2012,0,0
AT,2013,0,0
AT,2014,0,0
AT,2015,0,0
AT,2016,0,0
AT,2017,0,0
AT,2018,0,0
AT,2019,0,0
AT,2020,0,0
AT,2021,0,0
AT,2022,0,0
AT,2023,0,0
BE,2003,15,0
BE,2004,11,0
BE,2005,3,0
BE,2006,1,0
BE,2007,0,0
BE,2008,0,0
BE,2009,0,0
BE,2010,0,0
BE,2011,0,0
BE,2012,0,0
BE,2013,0,0
BE,2014,0,0
BE,2015,0,0
BE,2016,0,0
BE,2017,0,0
BE,2018,0,0
BE,2019,0,0
BE,2020,0,0
BE,2021,0,0
BE,2022,0,0
CZ,2003,4,0
CZ,2004,7,0
CZ,2005,8,0
CZ,2006,3,0
CZ,2007,1,1
CZ,2008,0,0
CZ,2009,2,0
CZ,2010,0,0
CZ,2011,0,0
CZ,2012,0,0
CZ,2013,0,0
CZ,2014,0,0
CZ,2015,0,0
CZ,2016,0,0
CZ,2017,0,0
CZ,2018,0,0
CZ,2019,0,0
CZ,2020,0,0
CZ,2021,0,0
CZ,2022,0,0
CZ,2023,0,0
DE,2003,53,1
DE,2004,64,1
DE,2005,32,0
DE,2006,16,0
DE,2007,4,0
DE,2008,2,0
DE,2009,2,0
DE,2010,0,0
DE,2011,0,0
DE,2012,0,0
DE,2013,0,0
DE,2014,0,2
DE,2015,0,0
DE,2016,0,0
DE,2017,0,0
DE,2018,0,0
DE,2019,0,0
DE,2020,0,0
DE,2021,0,1
DE,2022,0,0
DE,2023,0,0
UK,2003,610,0
UK,2004,330,0
UK,2005,206,2
UK,2006,128,1
UK,2007,61,4
UK,2008,40,2
UK,2009,10,1
UK,2010,10,1
UK,2011,6,2
UK,2012,2,1
UK,2013,2,1
UK,2014,1,0
UK,2015,1,1
UK,2016,0,0
UK,2017,0,0
UK,2018,1,0
UK,2019,0,0
UK,2020,0,0
UK,2021,1,0
UK,2022,0,0
UK,2023,,1
